Address,Shelter Number,Protection Level,Area,Capacity,Operator
87 Me'a She'arim St.,632,,80,64,"Emergency and Security Division, Jerusalem Municipality"
6 Otsar HaSfarim St.,826,,150,120,"""Moreshet HaNahal"" yeshiva"
25 Kfar Nahum St.,641,,180,144,"""HaMeor Nativ Kodesh"" organization"
73 Malkei Israel St.,643,,400,320,"Emergency and Security Division, Jerusalem Municipality"
12 Gesher HaHaim St.,806 - Temporarily Inactive,,,152,"Emergency and Security Division, Jerusalem Municipality"
109 Rashi St.,812,,110,88,"Emergency and Security Division, Jerusalem Municipality"
14 Tashbatz St.,839,,100,80,"Emergency and Security Division, Jerusalem Municipality"
7 Yehuda HaMaccabi St.,909,,120,96,"Toar Gallery, Culture Division, Jerusalem Municipality"
42 Mekor Haim St.,706 - Temporarily Inactive,Highest,,36,"Emergency and Security Division, Jerusalem Municipality"
3 Mishmarot St.,653,Highest,40,32,"Emergency and Security Division, Jerusalem Municipality"
10 HaAyin Het St.,751,,,80,Musrara photography school
21 HaAyin Het St.,752,,100,80,Musrara photography school
16 Kheil HaHandasa St.,753,,100,80,Eshkolot Community Administration
21 Tsfat St.,657,,,400,"Society Division of Jerusalem Municipality, ""Ariel"" youth movement"
17 Neve Sha'anan St.,939,,100,80,"Koom-Koom Theatre, Culture Division, Jerusalem Municipality"
42 HaPalmach St.,669,Highest,130,104,
22 Kaf Tet BeNovember St.,671,,160,128,"Emergency and Security Division, Jerusalem Municipality"
3 Reish Lakish St.,696,,164,131,"Emergency and Security Division, Jerusalem Municipality"
12 Halafta St.,702,,380,304,"Emergency and Security Division, Jerusalem Municipality"
53 Yohanan Ben Zakai St.,703,,170,136,"""Zchut Avot"" synagogue"
15 Elazar HaModa'i St.,923 - Temporarily Inactive,,100,80,"Youth Advancement Department, Society Division, Jerusalem Municipality"
38 Hizkiyahu HaMelech St.,937,,100,80,"Youth Promotion Department, Education Division, Jerusalem Municipality"
13 Ibn Ezra St.,658,,80,64,"Emergency and Security Division, Jerusalem Municipality"
15 Ibn Gabirol St.,659,,160,128,"Emergency and Security Division, Jerusalem Municipality"
9 Rashba St.,809,,90,72,"Emergency and Security Division, Jerusalem Municipality"
9 Ovadia MeBartenora St.,810,,150,120,"Emergency and Security Division, Jerusalem Municipality"
50 Azza St.,816,,120,96,"Holocaust survivors' organization, Jerusalem"
18 Arlozorov St.,835,,190,152,"Emergency and Security Division, Jerusalem Municipality"
26 AlHarizi St.,972,,100,80,"""Beit Yael"", Culture Division, Jerusalem Municipality"
1 Pnina St.,606,,80,64,"Emergency and Security Division, Jerusalem Municipality"
5 Zichron Ya'akov St.,750,,130,104,Romema Community Administration
38 HaMem Gimel St.,933,,100,80,"""Lev Malka"" organization"
15 Zichron Ya'akov St.,975 A,,50,40,"Emergency and Security Division, Jerusalem Municipality"
17 Zichron Ya'akov St.,975 B,,50,40,"""Drachei Miryam"" organization"
19 Zichron Ya'akov St.,975 C,,50,40,"""Lev Malka"" organization"
21 Zichron Ya'akov St.,975 D,,50,40,"Emergency and Security Division, Jerusalem Municipality"
10 Zichron Ya'akov St.,979,,100,80,"""Hanichei HaYeshivot Romema"" synagogue"
1 Gan Sanhedrin St.,601,Highest,,36,"""Mishkolitz"" institutions"
6 HaSanhedrin St.,602,Highest,100,80,"""Hasidei Morditz"" yeshiva"
10 HaRav Bloy St.,603,,120,96,"Emergency and Security Division, Jerusalem Municipality"
8 Shimon Hacham St.,604,,100,80,"Emergency and Security Division, Jerusalem Municipality"
2 Bar Ilan St.,605,,500,400,"Emergency and Security Division, Jerusalem Municipality"
61 Shmuel Hanavi St.,616,,,80,"Emergency and Security Division, Jerusalem Municipality"
3 Gmul St.,617,,40,32,"""Iyun Uvracha"" organization"
66 Shmuel HaNavi St.,618,,110,137,"""Ohalei Ya'akov"" synagogue"
19 Avinadav St.,957,,450,360,"""Agudat Or HaTzafon"" synagogue"
Shikunei Nuseiba,997 - Temporarily Inactive,,100,80,"Emergency and Security Division, Jerusalem Municipality"
19 Keren HaYesod St.,656,Highest,250,200,"Emergency and Security Division, Jerusalem Municipality"
7 Benjamin Disraeli St.,807,,115,92,"Emergency and Security Division, Jerusalem Municipality"
59 Hebron Rd.,679,,200,160,"Emergency and Security Division, Jerusalem Municipality"
18 Efrata St.,688,,200,160,"Emergency and Security Division, Jerusalem Municipality"
10 Ben Gavriel St.,689,,90,72,"Emergency and Security Division, Jerusalem Municipality"
12 Klausner St.,690 - Temporarily Inactive,,240,192,"Emergency and Security Division, Jerusalem Municipality"
93 Bethlehem Rd.,691,,440,352,"Emergency and Security Division, Jerusalem Municipality"
17 Shalom Yehuda St.,940,,100,80,"""Ezra"" youth movement"
8 Pri Hadash St.,928,,130,104,"""Or Leah"" organization"
