שם השכונה,מספר מקלט,כתובת,שטח,סוג,מס' נפשות,שייכות,שכונה,מנהל
טלביה,מקלט ציבורי מס' - 807,דישראלי בנימין 7,115,מקלט,92,"עיריית ירושלים, אגף חירום וביטחון",,
גאולה,מקלט ציבורי מס' - 624 - לא פעיל זמנית,לפידות 17,40,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
מאה שערים,מקלט ציבורי מס' - 632,מאה שערים 87,80,מקלט,64,"עיריית ירושלים, אגף חירום וביטחון",,
מאה שערים,מקלט ציבורי מס' - 826,אוצר הספרים 6,150,מקלט,120,"ישיבת ""מורשת הנחל""",,
מורשה,מקלט ציבורי מס' - 653,משמרות 3,40,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
מורשה,מקלט ציבורי מס' - 751,"הע""ח 10",100,מקלט,80,בית ספר לצילום מוסררה,,
מורשה,מקלט ציבורי מס' - 752,"הע""ח 21",100,מקלט,80,בית ספר לצילום מוסררה,,
מורשה,מקלט ציבורי מס' - 753,חיל הנדסה 16,100,מקלט,80,מינהל קהילתי אשכולות,,
מחנה יהודה,מקלט ציבורי מס' - 646,מני אליהו 4,40,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
מחנה יהודה,מקלט ציבורי מס' - 648,נהר פרת 15,236,מקלט,188,"עיריית ירושלים, אגף חירום וביטחון",,
מחנה יהודה,מקלט ציבורי מס' - 821,עיניים למשפט 24,120,מקלט,96,מינהל קהילתי לב העיר,,
מחנה יהודה,מקלט ציבורי מס' - 935,באר שבע 28,170,מקלט,136,בית כנסת קהילתי,,
מחנה יהודה,מקלט ציבורי מס' - 961,אבן ספיר 17,100,מקלט,80,"תנועת הנוער ""אריאל""",,
מנחת-מלחה,מקלט ציבורי מס' - 813,קדושי סטרומה 7,120,מקלט,96,עיריית ירושלים - החט' לקידום נוער (קבוצת הגנה עצמית+להקה כורדית),,
מקור ברוך,מקלט ציבורי מס' - 641,כפר נחום 25,180,מקלט,144,"עמותת ""המאור נתיב קודש""",,
מקור ברוך,מקלט ציבורי מס' - 643,מלכי ישראל 73,400,מקלט,320,"עיריית ירושלים, אגף חירום וביטחון",,
מקור ברוך,מקלט ציבורי מס' - 806 - לא פעיל זמנית,גשר החיים 12,190,מקלט,152,"עיריית ירושלים, אגף חירום וביטחון",,
מקור ברוך,מקלט ציבורי מס' - 812,"רש""י 109",110,מקלט,88,"עיריית ירושלים, אגף חירום וביטחון",,
מקור ברוך,מקלט ציבורי מס' - 839,"תשב""ץ 14",100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
מקור ברוך,מקלט ציבורי מס' - 909,יהודה המכבי 7,120,מקלט,96,"עיריית ירושלים, אגף תרבות, גלריית תואר",,
מקור חיים,מקלט ציבורי מס' - 706 - לא פעיל זמנית,מקור חיים 42,45,מחסה - הכי מוגן שיש,36,"עיריית ירושלים, אגף חירום וביטחון",,
מרכז העיר,מקלט ציבורי מס' - 639,פינס מיכל 2,250,מקלט,200,"""דגל ירושלים""",,
מרכז העיר,מקלט ציבורי מס' - 652,הנביאים 26,40,מחסה - הכי מוגן שיש,32,"ארגון ""איחוד הצלה"" ירושלים",,
מרכז העיר,מקלט ציבורי מס' - 932,הגלבוע 38,100,מקלט,80,מינהל קהילתי לב העיר,,
מרכז העיר,מקלט ציבורי מס' - 973,הרב אבידע 5,100,מקלט,80,"עיריית ירושלים, מנח""י, החט' לקידום נוער, בי""ס לדרמה",,
מרכז העיר,מקלט ציבורי מס' - 974,שמואל הנגיד 9,100,מקלט,80,"עיריית ירושלים, מנח""י, החט' לקידום נוער",,
מרכז העיר,מקלט ציבורי מס' - 985,שטראוס 13,50,מקלט,40,"עמותת ""חלק ממני ברכה וחסד""-סיוע לנזקקים",,
נווה שאנן,מקלט ציבורי מס' - 939,נוה שאנן 17,100,מקלט,80,"עיריית ירושלים, אגף תרבות, תיאטרון קומקום",,
נחלאות,מקלט ציבורי מס' - 657,צפת 21,500,מקלט,400,"עיריית ירושלים- אגף חברה, תנועת הנוער ""אריאל""",,
סנהדריה,מקלט ציבורי מס' - 602,הסנהדרין 6,100,מחסה - הכי מוגן שיש,80,ישיבת חסידי מודזיץ,,
סנהדריה,מקלט ציבורי מס' - 601,גן סנהדרין 1,45,מחסה - הכי מוגן שיש,36,מוסדות מישקוליץ,,
סנהדריה,מקלט ציבורי מס' - 603,הרב בלוי 10,120,מחסה - הכי מוגן שיש,96,"עיריית ירושלים, אגף חירום וביטחון",,
עין כרם,מקלט ציבורי מס' - 903,חומת הצלפים 82,120,מקלט,96,"סטודיו אומנים-מתנ""ס עין כרם",,
עיר גנים,מקלט ציבורי מס' - 726,הנורית 123,350,מקלט,280,"עיריית ירושלים, אגף חירום וביטחון",,
עיר גנים,מקלט ציבורי מס' - 726ב',הנורית 125,120,מקלט,96,"עיריית ירושלים, אגף חירום וביטחון",,
עיר גנים,מקלט ציבורי מס' - 727 - לא פעיל זמנית,הנורית 104 (34),185,מקלט,148,"עיריית ירושלים, אגף חירום וביטחון",,
עיר גנים,מקלט ציבורי מס' - 728 - לא פעיל זמנית,הנורית 102 (32),185,מקלט,148,"עיריית ירושלים, אגף חירום וביטחון",,
עיר גנים ,מקלט ציבורי מס' - 829,הרקפת 9,100,מקלט,32,"בית כנסת ""חי טייב""",,
עיר גנים,מקלט ציבורי מס' - 840,קוסטה ריקה 70,100,מקלט,32,"בית חב""ד",,
עיר גנים,מקלט ציבורי מס' - 901,איסלנד 13,150,מקלט,120,"בית הכנסת ""דוד משה""",,
