Name,Shelter Number,Address,Area,Capacity,Operator,Unnamed: 6,Latitude,Longitude
Katamon,704 A,"5 Yohanan ben Zakai St., Jerusalem, Israel",Shelter - the most protected,360,160,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Katamon,705,"7 Ma'agalei Yavne St., Jerusalem, Israel",Shelter - the most protected,400,320,"Emergency and Security Division, Jerusalem Municipality",31.75793,35.21164
Katamon,707,"22 Rashbag St., Jerusalem, Israel",Shelter - the most protected,,32,"Emergency and Security Division, Jerusalem Municipality",31.75545,35.20897
Katamon,709,"5 Ben Tabai St., Jerusalem, Israel",Shelter - the most protected,160,128,"Emergency and Security Division, Jerusalem Municipality",31.75779,35.20531
Katamon,710 - Temporarily Inactive,"70 Yohanan ben Zakai St., Jerusalem, Israel",Shelter - the most protected,160,128,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Katamon,714,"3 Kana'ei HaGalil St., Jerusalem, Israel",Shelter - the most protected,40,32,"Emergency and Security Division, Jerusalem Municipality",31.78178,35.20926
Katamon,718,"6 Rabbi Tzadok St., Jerusalem, Israel",,120,96,Gonenim Community Administration,Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Katamon,755,"3 Dov Hoz St., Jerusalem, Israel",,100,80,"Culture Division, Municipality of Jerusalem",31.75623,35.19640
Katamon,756,"1 San Martin St., Jerusalem, Israel",,100,80,"""Torah BeTziyon Tzedek"" youth movement",31.75646,35.19455
Katamon,757,"5 HaShomer St., Jerusalem, Israel",,100,80,"Youth Advancement Department, Jerusalem Municipality",31.75528,35.19767
Katamon,805,"21 Yordei HaSira St., Jerusalem, Israel",,370,296,"Emergency and Security Division, Jerusalem Municipality",31.76220,35.21030
Katamon,817,"7 Yehoshua Ben Gamla St., Jerusalem, Israel",,,96,Ginot Ha'Ir Community Administration,31.76059,35.21224
Katamon,824,"31 Rashbag St., Jerusalem, Israel",,150,120,"Mikro Theater, Culture Division, Jerusalem Municipality",31.75527,35.20873
Katamon,825,"24 Elazar Ben Yair St., Jerusalem, Israel",,150,120,"""Ariel"" youth movement",31.76270,35.22136
Katamon,828,"10 HaRav Hasda St., Jerusalem, Israel",,100,80,boxing club,31.79002,35.20262
Katamon,831,"7 Dov Hoz St., Jerusalem, Israel",,150,120,"Keshet Arts, Culture Division, Jerusalem Municipality",31.75623,35.19640
Katamon,842,"8 Bar Yochai St., Jerusalem, Israel",,174,139,synagogue for Israelis of Ethiopian origin,31.79002,35.20262
Katamon,906,"2 Bar Yochai St., Jerusalem, Israel",,100,80,"Gal Avraham"" synagogue",31.79002,35.20262
Katamon,965,"7 Yitzhak Sadeh St., Jerusalem, Israel",,100,80,"""Havatzelet HaSharon"" synagogue",31.80067,35.19275
Katamon,967,"7 Antignos St., Jerusalem, Israel",,100,80,"""Ariel"" movement",31.75778,35.20941
Katamon,969,"16 Yossi Ben Yo'ezer St., Jerusalem, Israel",,100,80,"Society Division, Jerusalem Municipality",31.75722,35.20964
Katamon,976,"41 Avraham Elmaliach St., Jerusalem, Israel",,50,40,organization of Israelis of Kurdish origin,31.81801,35.19020
Katamon,981,"27 Avraham Elmaliach St., Jerusalem, Israel",,50,40,"""Tzofim"", Society Division, Jerusalem Municipality",31.81801,35.19020
Katamon,987,"38 Yohanan Ben Zakai St., Jerusalem, Israel",,100,80,"""Ohel Moshe"" synagogue",31.79002,35.20262
Kiryat HaYovel,721,"29 Uruguay St., Jerusalem, Israel",,130,104,"Community Administration, Public Health Division, Jerusalem Municipality",31.75512,35.17729
Kiryat HaYovel,722 - Temporarily Inactive,"67 Avraham Stern St., Jerusalem, Israel",,130,104,"Emergency and Security Division, Jerusalem Municipality",31.75488,35.17664
Kiryat HaYovel,723 - Temporarily Inactive,"51 Avraham Stern St., Jerusalem, Israel",,130,104,"Emergency and Security Division, Jerusalem Municipality",31.75406,35.17681
Kiryat HaYovel,724,"9 Volta Ilit St., Jerusalem, Israel",,90,72,"Emergency and Security Division, Jerusalem Municipality",31.75809,35.17853
Kiryat HaYovel,736,"8 Chile St., Jerusalem, Israel",,200,160,Yuvalim Community Administration,31.76052,35.17047
Kiryat HaYovel,737,"32 Janus Korczak St., Jerusalem, Israel",,150,120,"""Mishkan Mordechai"" synagogue",31.75982,35.17207
Kiryat HaYovel,738,"78 Anielewicz St., Jerusalem, Israel",,90,72,"""Bnei Akiva"" youth movement",31.76178,35.17359
Kiryat HaYovel,739,"3 Schmorak St., Jerusalem, Israel",,90,72,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Kiryat HaYovel,740,"7 Yisrael Zangvil St., Jerusalem, Israel",Shelter,90,72,"Emergency and Security Division, Jerusalem Municipality",31.76598,35.17737
Kiryat HaYovel,741,"5 Yisrael Zangvill St., Jerusalem, Israel",Shelter,90,72,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Kiryat HaYovel,814,"3 Volta Ilit St., Jerusalem, Israel",,130,104,Yuvalim Community Administration,31.75929,35.17718
Kiryat HaYovel,814 A,"3 Volta Ilit St., Jerusalem, Israel",,130,104,"""Beit HaKehilot"", Yuvalim Community Administration",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Kiryat HaYovel,815,"2 Aharon Rabinovich St., Jerusalem, Israel",,168,134,music institute,31.76489,35.17593
Kiryat HaYovel,815 A,"2 Aharon Rabinovich St., Jerusalem, Israel",,815 A,136,"""Yad Avi"" synagogue",31.76489,35.17593
Kiryat HaYovel,947,"17 Sireni St., Jerusalem, Israel",Shelter - the most protected,100,80,"Culture Division, Jerusalem Municipality",31.79002,35.20262
Kiryat HaYovel,963,"11 Yisrael Zangvill St., Jerusalem, Israel",,100,80,"""Siach Yisrael"" synagogue",31.79002,35.20262
Kiryat HaYovel,964 - Temporarily Inactive,"8 Meir Grunwald St., Jerusalem, Israel",,,144,"Emergency and Security Division, Jerusalem Municipality",31.75753,35.17598
Kiryat HaYovel,983,"10 Gordon St., Jerusalem, Israel",,100,80,"""Ezra"" youth movement",31.79002,35.20262
Kiryat HaYovel,991,"2 Avraham Sharon St., Jerusalem, Israel",,100,80,"""Mithazkim LeBoreh Olam"" organization",31.75658,35.18061
Kiryat HaYovel,992,"19 Etinger St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Kiryat HaYovel,993,"3 Kleinman St., Jerusalem, Israel",,100,80,"Mashu-Mashu Theatre, Culture Division, Jerusalem Municipality",31.79002,35.20262
Kiryat Menachem,729,"7 Dahomey St., Jerusalem, Israel",,250,200,Ganim Community Administration,31.75580,35.16568
Kiryat Menachem,731,"16 Colombia St., Jerusalem, Israel",Shelter,200,160,"Emergency and Security Division, Jerusalem Municipality",31.75828,35.16531
Kiryat Menachem,732,"7 Colombia St., Jerusalem, Israel",Shelter,160,128,"Emergency and Security Division, Jerusalem Municipality",31.75809,35.16731
Kiryat Menachem,734,"17 Iceland St., Jerusalem, Israel",,130,104,"Emergency and Security Division, Jerusalem Municipality",31.75922,35.16828
Kiryat Menachem,734 A,"17 Iceland St., Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality",31.75922,35.16828
Kiryat Menachem,803,"17 Henrietta Szold St., Jerusalem, Israel",,113,90,"""Darchei Hayim"" yeshiva (dining room)",31.75975,35.16739
Kiryat Menachem,827,"4 Mexico St., Jerusalem, Israel",,,80,"""Ariel"" youth movement",31.75883,35.16876
Kiryat Moshe,748,"2 Ha'ilui St., Jerusalem, Israel",,134,107,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Kiryat Moshe,977,"23 Gat St., Jerusalem, Israel",,100,80,Meitarim Community Administration,31.78621,35.19733
Kiryat Moshe,978,"13 HaRav Tzvi Yehuda St., Jerusalem, Israel",,100,80,Meitarim Community Administration,31.75677,35.22120
Kiryat Shmuel,667,"22 HaPalmach St., Jerusalem, Israel",,180,144,"Emergency and Security Division, Jerusalem Municipality",31.76738,35.21126
Kiryat Shmuel,668,"15 HaRav Brodi St., Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality",31.76916,35.20965
Kiryat Shmuel,971,"16 HaPalmach St., Jerusalem, Israel",,100,80,Ginot Ha'ir Community Administration,Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Kiryat Yovel,726 B,"125 HaNurit St., Jerusalem, Israel",,120,96,"Emergency and Security Division, Jerusalem Municipality",31.75243,35.17162
Kiryat Yovel,726 A,"124 HaNurit St., Jerusalem, Israel",,120,80,"Emergency and Security Division, Jerusalem Municipality",31.75243,35.17162
